OID,FID_,COUNT,AREA,MEAN
-1,6084,10,9000.000000000000000,-70.593035125732428
-1,6113,5,4500.000000000000000,-38.706224822998045
-1,6120,5,4500.000000000000000,-36.162718963623050
-1,6124,7,6300.000000000000000,-49.767468043736052
-1,6126,2,1800.000000000000000,-44.180456161499023
-1,6127,6,5400.000000000000000,-28.768393516540527
-1,6128,54,48600.000000000000000,-40.690744029151070
-1,6130,9,8100.000000000000000,-32.017221450805664
-1,6131,11,9900.000000000000000,-26.097554732452739
-1,6132,3,2700.000000000000000,-30.812158584594727
-1,6133,8,7200.000000000000000,-56.026062488555908
-1,6136,10,9000.000000000000000,-45.871884155273435
-1,6137,56,50400.000000000000000,-33.590295323303771
-1,6141,16,14400.000000000000000,-41.562483191490173
-1,6143,4,3600.000000000000000,-39.327035903930664
-1,6144,13,11700.000000000000000,-33.038341338817887
-1,6146,30,27000.000000000000000,41.877623353401823
-1,6147,235,211500.000000000000000,-183.789050439063544
-1,6148,42,37800.000000000000000,-39.896806330907914
-1,6150,15,13500.000000000000000,-29.247305234273274
-1,6151,23,20700.000000000000000,-71.166612542193874
-1,6159,27,24300.000000000000000,-53.302976537633825
-1,6161,4,3600.000000000000000,17.514394164085388
-1,6162,69,62100.000000000000000,-159.055188441622079
-1,6163,55,49500.000000000000000,-42.739713443409315
-1,6164,8,7200.000000000000000,-46.802377223968506
-1,6169,86,77400.000000000000000,-36.174089808796730
-1,6177,65,58500.000000000000000,-16.846366295447716
-1,6179,9,8100.000000000000000,-28.082494152916802
-1,6180,385,346500.000000000000000,-29.051720329693385
-1,6181,3,2700.000000000000000,-34.494002024332680
-1,6182,109,98100.000000000000000,-27.713352303986156
-1,6185,70,63000.000000000000000,-65.630402646745949
-1,6186,52,46800.000000000000000,-48.075752735137939
-1,6187,21,18900.000000000000000,-30.901631219046457
-1,6188,22,19800.000000000000000,-30.617857239463113
-1,6189,5,4500.000000000000000,-39.944225311279297
-1,6190,49,44100.000000000000000,-19.523652693446802
-1,6191,64,57600.000000000000000,9.609239846467972
-1,6193,22,19800.000000000000000,-46.867645957253195
-1,6194,944,849600.000000000000000,-40.416564995959654
-1,6198,10,9000.000000000000000,-24.819617843627931
-1,6199,4,3600.000000000000000,-60.999386787414551
-1,6200,1,900.000000000000000,-8.876008033752441
-1,6201,75,67500.000000000000000,-26.388949864705403
-1,6202,8,7200.000000000000000,-115.972330093383789
-1,6203,151,135900.000000000000000,-39.201117509248242
-1,6204,3,2700.000000000000000,-32.411646525065102
-1,6205,4,3600.000000000000000,-52.417550086975098
-1,6206,2,1800.000000000000000,-51.539155960083008
-1,6209,8,7200.000000000000000,-35.398173332214355
-1,6211,160,144000.000000000000000,-61.491044366359709
-1,6212,22,19800.000000000000000,-22.524641903963957
-1,6213,660,594000.000000000000000,-27.593370362664714
-1,6214,539,485100.000000000000000,-21.717134773786523
-1,6215,29,26100.000000000000000,-65.747220795730058
-1,6216,85,76500.000000000000000,-22.250108685212975
-1,6217,2,1800.000000000000000,-62.415485382080078
-1,6224,24,21600.000000000000000,-23.839332024256390
-1,6226,4,3600.000000000000000,-37.846052646636963
-1,6227,201,180900.000000000000000,-44.487410274904164
-1,6228,3,2700.000000000000000,-25.763083775838215
-1,6232,19,17100.000000000000000,-37.194003958451120
-1,6233,9,8100.000000000000000,104.074107487996415
-1,6234,47,42300.000000000000000,-68.183822307180847
-1,6235,78,70200.000000000000000,-17.344518961050571
-1,6237,34,30600.000000000000000,-29.972399487214929
-1,6238,4,3600.000000000000000,-21.369792580604553
-1,6242,56,50400.000000000000000,-0.294783197609442
-1,6248,4,3600.000000000000000,-2.875075727701187
-1,6250,58,52200.000000000000000,-22.996297014170679
-1,6252,40,36000.000000000000000,-24.153960475325583
-1,6257,40,36000.000000000000000,-31.637365287542345
-1,6259,7,6300.000000000000000,0.659023301942008
-1,6262,20,18000.000000000000000,-65.074554443359375
-1,6263,4,3600.000000000000000,-61.224954605102539
-1,6264,22,19800.000000000000000,-44.261027422818273
-1,6265,91,81900.000000000000000,-51.358896842369667
-1,6266,32,28800.000000000000000,-54.982460021972656
-1,6269,127,114300.000000000000000,-22.882813693970206
-1,6270,8,7200.000000000000000,-24.442156314849854
-1,6271,20,18000.000000000000000,-16.784211170673370
-1,6272,5,4500.000000000000000,-28.474594879150391
-1,6273,2,1800.000000000000000,-29.402971267700195
-1,6274,56,50400.000000000000000,-44.877832038061960
-1,6276,5,4500.000000000000000,-56.028501892089842
-1,6283,117,105300.000000000000000,-28.321863637011276
-1,6285,173,155700.000000000000000,-84.745222378328350
-1,6289,165,148500.000000000000000,-37.637446154970114
-1,6290,218,196200.000000000000000,-31.189121596310116
-1,6301,10,9000.000000000000000,34.295728969573972
-1,6303,94,84600.000000000000000,-58.478926252811512
-1,6305,17,15300.000000000000000,-46.748546039356903
-1,6306,2,1800.000000000000000,-69.393205642700195
