OID,FID_,COUNT,AREA,MEAN
-1,60484,24,21600.000000000000000,-17.634188421070576
-1,60485,9,8100.000000000000000,-11.903609063890245
-1,60486,3,2700.000000000000000,-26.583377838134766
-1,60487,7,6300.000000000000000,-22.279029003211431
-1,60488,5,4500.000000000000000,-14.746207618713379
-1,60489,4,3600.000000000000000,-34.267252445220947
-1,60490,2,1800.000000000000000,-37.251390457153320
-1,60491,2,1800.000000000000000,2.476201057434082
-1,60492,35,31500.000000000000000,-18.368690497534615
-1,60493,5,4500.000000000000000,-33.552544593811035
-1,60494,7,6300.000000000000000,-36.663339887346538
-1,60495,14,12600.000000000000000,-13.119303924696785
-1,60496,1,900.000000000000000,-31.650375366210938
-1,60497,48,43200.000000000000000,-9.483428015063206
-1,60498,10,9000.000000000000000,-20.416414928436279
-1,60499,7,6300.000000000000000,-28.982202802385604
-1,60500,15,13500.000000000000000,-18.208389965693154
-1,60501,21,18900.000000000000000,-13.280196967579069
-1,60502,5,4500.000000000000000,-9.583428800106049
-1,60503,8,7200.000000000000000,-21.330265283584595
-1,60504,9,8100.000000000000000,-15.403855376773411
-1,60506,1,900.000000000000000,-23.782035827636719
-1,60507,5,4500.000000000000000,-39.921170806884767
-1,60509,3,2700.000000000000000,1.118149717648824
-1,60510,6,5400.000000000000000,-17.639813582102459
-1,60511,2,1800.000000000000000,-22.505160093307495
-1,60512,12,10800.000000000000000,-22.429569164911907
-1,60513,2,1800.000000000000000,-19.872354507446289
-1,60514,9,8100.000000000000000,-21.727522002326118
-1,60515,1,900.000000000000000,-32.469669342041016
-1,60516,4,3600.000000000000000,-18.440929651260376
-1,60517,2,1800.000000000000000,-10.618394494056702
-1,60518,1,900.000000000000000,-22.341054916381836
-1,60519,6,5400.000000000000000,-7.219204684098561
-1,60520,8,7200.000000000000000,6.449460297822952
-1,60521,5,4500.000000000000000,-24.828397750854492
-1,60522,23,20700.000000000000000,-19.066644399062447
-1,60523,10,9000.000000000000000,-27.528014659881592
-1,60524,14,12600.000000000000000,-30.456302302224294
-1,60525,156,140400.000000000000000,-16.488247885440405
-1,60526,10,9000.000000000000000,-32.055748450756070
-1,60527,12,10800.000000000000000,-36.623289982477822
-1,60528,12,10800.000000000000000,-8.171802222728729
-1,60529,1,900.000000000000000,-8.420478820800781
-1,60530,18,16200.000000000000000,-11.190903095735443
-1,60531,5,4500.000000000000000,-14.611743593215943
-1,60532,7,6300.000000000000000,-7.905322630490575
-1,60533,9,8100.000000000000000,-41.310446209377716
-1,60534,2,1800.000000000000000,-24.881256580352783
-1,60535,28,25200.000000000000000,-17.754044498716080
-1,60536,20,18000.000000000000000,-32.587990379333498
-1,60537,30,27000.000000000000000,-13.406088527043661
-1,60539,90,81000.000000000000000,-18.470274528529909
-1,60540,83,74700.000000000000000,-19.289304400064861
-1,60541,12,10800.000000000000000,-21.852272033691406
-1,60542,7,6300.000000000000000,-22.196393762316024
-1,60543,76,68400.000000000000000,-10.594849177489156
-1,60544,4,3600.000000000000000,-20.034369468688965
-1,60545,138,124200.000000000000000,-18.491669849533103
-1,60546,1,900.000000000000000,-20.961429595947266
-1,60548,12,10800.000000000000000,-16.669736305872600
-1,60549,17,15300.000000000000000,-14.759008646011353
-1,60550,36,32400.000000000000000,-18.050044589572483
-1,60551,15,13500.000000000000000,-19.900358851750692
-1,60552,71,63900.000000000000000,-22.892648748948542
-1,60553,6,5400.000000000000000,2.724808474381765
-1,60554,24,21600.000000000000000,-22.632467210292816
-1,60555,4,3600.000000000000000,6.211853789165616
-1,60556,22,19800.000000000000000,-16.609456214037809
-1,60557,41,36900.000000000000000,-15.758578544709740
-1,60558,11,9900.000000000000000,-36.946265003897928
-1,60559,6,5400.000000000000000,-7.650624692440033
-1,60560,6,5400.000000000000000,-26.807474454243977
-1,60561,4,3600.000000000000000,-12.205627679824829
-1,60562,2,1800.000000000000000,-15.858380794525146
-1,60563,7,6300.000000000000000,-36.140613283429829
-1,60564,6,5400.000000000000000,-23.272714296976726
-1,60566,2,1800.000000000000000,-11.023083686828613
-1,60567,2,1800.000000000000000,-43.896463394165039
-1,60568,6417,5775300.000000000000000,-20.577821441574113
-1,60569,21,18900.000000000000000,-16.578792776380265
-1,60570,1,900.000000000000000,-28.074899673461914
-1,60571,4,3600.000000000000000,-7.959252685308456
-1,60572,10,9000.000000000000000,-45.337325727939607
-1,60573,12,10800.000000000000000,-15.925701002279917
-1,60574,4,3600.000000000000000,-19.175214767456055
-1,60575,30,27000.000000000000000,-20.370399649937948
-1,60576,6,5400.000000000000000,-30.992467085520428
-1,60577,104,93600.000000000000000,-19.849041963999088
-1,60578,2,1800.000000000000000,-17.160722732543945
-1,60579,4,3600.000000000000000,-16.133598566055298
-1,60580,2,1800.000000000000000,-18.973509788513184
-1,60581,3,2700.000000000000000,-10.517892916997274
-1,60582,650,585000.000000000000000,-21.057089266983361
-1,60583,15,13500.000000000000000,-20.586797242859998
-1,60584,127,114300.000000000000000,-18.905337588524254
-1,60585,5,4500.000000000000000,-20.115056037902832
-1,60586,2,1800.000000000000000,-7.347165584564209
-1,60587,4,3600.000000000000000,-28.576402664184570
-1,60588,3,2700.000000000000000,-0.653838247060776
-1,60589,43,38700.000000000000000,-16.549258693706157
